 pre(mm/d)  tavg(K)  sWBGT(degC) dewpoint(K)  rel_hum(%)  u-Wind_at_10m(m/s)  v-Wind_at_10m(m/s)
               0.000             294.096              22.477             287.050              68.357               0.689               2.060
               0.146             295.865              24.014             288.267              66.271               0.755               1.568
               0.000             296.231              24.129             288.129              63.982               0.397               1.956
               0.000             296.220              24.392             288.785              66.454               0.553               1.825
               0.012             296.723              24.400             287.876              62.041               0.611               1.626
               0.145             295.875              23.696             287.330              63.255               0.572               1.669
               0.173             293.701              22.209             287.070              69.574               0.605               1.931
               0.079             293.424              22.374             287.847              74.218              -0.366               2.325
               0.000             292.750              21.895             287.740              76.309               0.729               1.701
               0.048             292.081              21.100             286.679              74.727               0.747               1.669
               0.000             292.570              21.563             287.040              74.567               0.916               1.347
               0.014             292.679              21.671             287.195              74.587               0.949               1.807
               0.083             293.276              22.237             287.605              74.329               0.822               1.711
               0.000             293.211              22.165             287.578              74.248               0.848               1.548
               0.000             292.569              21.590             287.210              74.893               0.949               1.525
               0.000             291.812              20.977             286.903              76.334               1.272               1.447
               0.000             292.440              21.494             287.101              75.228               1.086               1.519
               0.018             294.173              21.939             285.420              62.098               1.082               1.178
               0.372             296.669              22.853             284.121              48.944               1.001               1.290
               0.000             295.870              23.229             285.790              59.002               0.573               1.700
               0.000             295.863              23.680             287.181              63.214               0.684               1.937
               0.000             294.930              23.287             287.565              68.237               0.423               1.791
               0.000             296.198              23.554             286.339              59.091               0.446               1.098
               0.000             293.416              22.153             287.208              71.941               0.025               2.112
               0.091             292.187              21.542             287.902              78.642               0.393               1.906
               0.061             293.118              22.207             287.982              75.711               0.880               1.573
               0.000             292.863              21.856             287.465              74.637               0.594               1.667
               0.000             292.236              21.460             287.314              77.143               0.743               1.786
               0.000             293.056              21.715             286.476              70.995               1.143               1.335
               0.134             295.746              23.263             286.208              60.418               0.945               1.506
               0.000             295.904              23.493             286.540              61.123               0.821               1.524
               0.000             294.603              23.073             287.356              69.328               0.422               1.466
               0.122             294.563              23.030             287.336              69.305               0.576               1.647
               0.000             294.566              22.936             287.078              68.331               0.707               1.152
               0.000             296.478              23.914             286.664              59.888               0.784               0.855
               0.000             298.819              25.536             287.351              54.331               0.746               1.873
               0.118             297.897              25.385             288.388              60.427               0.296               1.721
               0.000             297.497              25.398             288.576              63.893               0.214               1.530
               0.019             297.618              25.032             287.896              59.826               0.677               1.430
               0.000             296.881              24.541             287.865              61.899               0.978               1.638
               0.000             296.753              24.768             288.300              64.995               0.663               1.634
               0.089             299.855              25.404             285.263              45.891               0.359               0.537
               0.125             300.149              24.195             281.371              35.286               0.208               1.198
               0.002             300.971              24.101             280.554              29.821               0.403               1.387
               0.079             300.126              24.211             282.150              35.541               0.988               1.552
               0.000             298.854              23.918             283.498              41.605               0.309               1.372
